timestamp,test_module,test_name,initial_threads,final_threads,thread_change,leaked_threads,new_thread_names,closed_thread_names,duration_seconds
2025-09-26T20:24:47.931337,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,3.84527
2025-09-26T20:24:59.060263,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.053613
2025-09-26T20:25:05.771544,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,3.892861
2025-09-26T20:25:41.069615,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,4.202698
2025-09-26T20:26:03.037005,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,1,0,0,,,0.036067
2025-09-26T20:26:22.868376,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,5.63436
2025-09-26T20:30:12.473288,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,7.350234
2025-09-26T20:31:17.179166,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,4.087574
2025-09-26T20:32:54.824655,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,5.661503
2025-09-26T20:33:12.165843,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,5.482186
2025-09-26T20:33:25.477659,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,11.251526
2025-09-26T20:34:03.773972,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,10.599549
2025-09-26T20:34:35.064512,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,5.609869
2025-09-26T20:36:30.134349,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,0.319505
2025-09-26T20:36:34.464576,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,6.992168
2025-09-26T20:39:38.267359,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,6.485351
2025-09-26T20:41:18.218244,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,6.932784
2025-09-26T20:41:40.645139,dimos.perception.detection2d.test_module2d,test_module2d_visual_query,1,3,2,2,Thread-1 (run_forever)|Thread-2 (_loop),,6.255135
2025-09-26T20:42:18.133300,dimos.perception.detection2d.test_moduleDB,test_moduleDB,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop),,2.151888
2025-09-26T20:42:27.389096,dimos.perception.detection2d.test_moduleDB,test_moduleDB,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop),,2.144457
2025-09-26T20:42:35.625436,dimos.perception.detection2d.test_moduleDB,test_moduleDB,2,8,6,6,Thread-2 (run_forever)|Thread-3 (_loop)|Thread-4 (run_forever)|Thread-5 (_loop)|Thread-6 (run_forever)|Thread-7 (_loop),,2.115704
